date,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_source
2025-03-07,7819.9,7761.61,7819.9,7740.98,11239817,28435008995.1,1.01,-0.97,-76.27,1.13,index_zh_a_hist
2025-03-10,7826.14,7784.81,7860.92,7731.16,13693378,30742383386.7,1.67,0.3,23.2,1.38,index_zh_a_hist
2025-03-11,7715.04,7802.88,7802.88,7704.61,11579484,29955793482.4,1.26,0.23,18.07,1.17,index_zh_a_hist
2025-03-12,7816.35,7750.09,7854.06,7749.72,11676380,28195783677.5,1.34,-0.68,-52.79,1.18,index_zh_a_hist
2025-03-13,7749.91,7723.03,7772.91,7683.55,10414747,26253506778.2,1.15,-0.35,-27.06,1.05,index_zh_a_hist
2025-03-14,7725.41,7907.49,7907.49,7719.38,15720566,43628279940.7,2.44,2.39,184.46,1.58,index_zh_a_hist
2025-03-17,7939.84,7897.58,7941.4,7869.32,11373553,31431024213.0,0.91,-0.13,-9.91,1.15,index_zh_a_hist
2025-03-18,7970.26,7984.61,8051.22,7929.46,11874568,36725563438.5,1.54,1.1,87.03,1.2,index_zh_a_hist
2025-03-19,7966.49,7990.39,8033.4,7962.0,11087673,31670432889.9,0.89,0.07,5.78,1.12,index_zh_a_hist
2025-03-20,7986.75,7903.56,7990.37,7897.05,9571664,26994787140.0,1.17,-1.09,-86.83,0.96,index_zh_a_hist
2025-03-21,7902.92,7781.75,7922.63,7755.19,11423274,30668262527.7,2.12,-1.54,-121.81,1.15,index_zh_a_hist
2025-03-24,7773.59,7745.71,7806.71,7693.75,10014991,25110711251.5,1.45,-0.46,-36.04,1.01,index_zh_a_hist
2025-03-25,7751.77,7779.38,7796.76,7729.56,8130271,21285995296.1,0.87,0.43,33.67,0.82,index_zh_a_hist
2025-03-26,7789.93,7764.92,7830.51,7757.34,7573328,20559228565.6,0.94,-0.19,-14.46,0.76,index_zh_a_hist
2025-03-27,7754.43,7931.23,7934.63,7705.81,12404014,33743678102.8,2.95,2.14,166.31,1.25,index_zh_a_hist
2025-03-28,7915.69,7900.64,8017.59,7899.37,11881484,33602371783.9,1.49,-0.39,-30.59,1.2,index_zh_a_hist
