date,close,volume,source
2024-06-14,98.09,70712.0,stock_zh_a_hist_tx
2024-06-17,99.66,47746.0,stock_zh_a_hist_tx
2024-06-18,99.25,29303.0,stock_zh_a_hist_tx
2024-06-19,98.69,23733.0,stock_zh_a_hist_tx
2024-06-20,95.48,54812.0,stock_zh_a_hist_tx
2024-06-21,95.29,36029.0,stock_zh_a_hist_tx
2024-06-24,92.33,50284.0,stock_zh_a_hist_tx
2024-06-25,90.55,52233.0,stock_zh_a_hist_tx
2024-06-26,92.96,49802.0,stock_zh_a_hist_tx
2024-06-27,90.37,45511.0,stock_zh_a_hist_tx
2024-06-28,89.05,59559.0,stock_zh_a_hist_tx
2024-07-01,90.57,42894.0,stock_zh_a_hist_tx
2024-07-02,89.84,25984.0,stock_zh_a_hist_tx
2024-07-03,89.98,27838.0,stock_zh_a_hist_tx
2024-07-04,87.03,59992.0,stock_zh_a_hist_tx
2024-07-05,87.82,47026.0,stock_zh_a_hist_tx
2024-07-08,85.8,39752.0,stock_zh_a_hist_tx
2024-07-09,87.48,42626.0,stock_zh_a_hist_tx
2024-07-10,88.8,47713.0,stock_zh_a_hist_tx
2024-07-11,91.23,53146.0,stock_zh_a_hist_tx
2024-07-12,90.05,34020.0,stock_zh_a_hist_tx
2024-07-15,88.72,30137.0,stock_zh_a_hist_tx
2024-07-16,90.46,35084.0,stock_zh_a_hist_tx
2024-07-17,92.24,53637.0,stock_zh_a_hist_tx
2024-07-18,92.16,38951.0,stock_zh_a_hist_tx
2024-07-19,92.17,35613.0,stock_zh_a_hist_tx
2024-07-22,91.94,31308.0,stock_zh_a_hist_tx
2024-07-23,88.32,46277.0,stock_zh_a_hist_tx
2024-07-24,87.28,30772.0,stock_zh_a_hist_tx
2024-07-25,88.14,29231.0,stock_zh_a_hist_tx
2024-07-26,88.31,24098.0,stock_zh_a_hist_tx
2024-07-29,86.91,27345.0,stock_zh_a_hist_tx
2024-07-30,87.46,27353.0,stock_zh_a_hist_tx
2024-07-31,92.09,68924.0,stock_zh_a_hist_tx
2024-08-01,89.74,51742.0,stock_zh_a_hist_tx
2024-08-02,89.88,42382.0,stock_zh_a_hist_tx
2024-08-05,90.39,63007.0,stock_zh_a_hist_tx
2024-08-06,91.71,47567.0,stock_zh_a_hist_tx
2024-08-07,91.08,28187.0,stock_zh_a_hist_tx
2024-08-08,90.68,29662.0,stock_zh_a_hist_tx
2024-08-09,89.0,35170.0,stock_zh_a_hist_tx
2024-08-12,89.72,33013.0,stock_zh_a_hist_tx
2024-08-13,88.38,40715.0,stock_zh_a_hist_tx
2024-08-14,86.83,28100.0,stock_zh_a_hist_tx
2024-08-15,86.67,36587.0,stock_zh_a_hist_tx
2024-08-16,83.43,98680.0,stock_zh_a_hist_tx
2024-08-19,81.47,67068.0,stock_zh_a_hist_tx
2024-08-20,80.09,57268.0,stock_zh_a_hist_tx
2024-08-21,78.52,48782.0,stock_zh_a_hist_tx
2024-08-22,76.92,57233.0,stock_zh_a_hist_tx
2024-08-23,76.87,35979.0,stock_zh_a_hist_tx
2024-08-26,77.91,38373.0,stock_zh_a_hist_tx
2024-08-27,77.64,31630.0,stock_zh_a_hist_tx
2024-08-28,76.93,30082.0,stock_zh_a_hist_tx
2024-08-29,78.38,39077.0,stock_zh_a_hist_tx
2024-08-30,79.6,60423.0,stock_zh_a_hist_tx
2024-09-02,76.68,48273.0,stock_zh_a_hist_tx
2024-09-03,77.11,33343.0,stock_zh_a_hist_tx
2024-09-04,77.36,30686.0,stock_zh_a_hist_tx
2024-09-05,77.78,26250.0,stock_zh_a_hist_tx
2024-09-06,76.67,22025.0,stock_zh_a_hist_tx
2024-09-09,76.34,28540.0,stock_zh_a_hist_tx
2024-09-10,76.18,31902.0,stock_zh_a_hist_tx
2024-09-11,76.32,27826.0,stock_zh_a_hist_tx
2024-09-12,78.12,70756.0,stock_zh_a_hist_tx
2024-09-13,77.12,28217.0,stock_zh_a_hist_tx
2024-09-18,76.25,22536.0,stock_zh_a_hist_tx
2024-09-19,77.94,46300.0,stock_zh_a_hist_tx
2024-09-20,77.33,35378.0,stock_zh_a_hist_tx
2024-09-23,77.13,28189.0,stock_zh_a_hist_tx
2024-09-24,80.53,83133.0,stock_zh_a_hist_tx
2024-09-25,81.89,85671.0,stock_zh_a_hist_tx
2024-09-26,88.1,112197.0,stock_zh_a_hist_tx
2024-09-27,97.18,168947.0,stock_zh_a_hist_tx
2024-09-30,107.17,151629.0,stock_zh_a_hist_tx
2024-10-08,118.16,236853.0,stock_zh_a_hist_tx
2024-10-09,114.51,228910.0,stock_zh_a_hist_tx
2024-10-10,109.28,167092.0,stock_zh_a_hist_tx
2024-10-11,101.29,131339.0,stock_zh_a_hist_tx
2024-10-14,101.3,125149.0,stock_zh_a_hist_tx
2024-10-15,97.74,78330.0,stock_zh_a_hist_tx
2024-10-16,96.32,71645.0,stock_zh_a_hist_tx
2024-10-17,95.37,61980.0,stock_zh_a_hist_tx
2024-10-18,99.97,119964.0,stock_zh_a_hist_tx
2024-10-21,100.8,106865.0,stock_zh_a_hist_tx
2024-10-22,101.58,74975.0,stock_zh_a_hist_tx
2024-10-23,101.8,86982.0,stock_zh_a_hist_tx
2024-10-24,100.09,71342.0,stock_zh_a_hist_tx
2024-10-25,101.04,93322.0,stock_zh_a_hist_tx
2024-10-28,108.87,166386.0,stock_zh_a_hist_tx
2024-10-29,105.13,129647.0,stock_zh_a_hist_tx
2024-10-30,102.24,88785.0,stock_zh_a_hist_tx
2024-10-31,101.66,72355.0,stock_zh_a_hist_tx
2024-11-01,101.32,71362.0,stock_zh_a_hist_tx
2024-11-04,103.39,62149.0,stock_zh_a_hist_tx
2024-11-05,105.66,85572.0,stock_zh_a_hist_tx
2024-11-06,105.5,98400.0,stock_zh_a_hist_tx
2024-11-07,112.37,130440.0,stock_zh_a_hist_tx
2024-11-08,110.36,104929.0,stock_zh_a_hist_tx
2024-11-11,111.65,88046.0,stock_zh_a_hist_tx
2024-11-12,114.81,160393.0,stock_zh_a_hist_tx
2024-11-13,113.02,79154.0,stock_zh_a_hist_tx
2024-11-14,109.26,70178.0,stock_zh_a_hist_tx
2024-11-15,107.59,58278.0,stock_zh_a_hist_tx
2024-11-18,110.27,103042.0,stock_zh_a_hist_tx
2024-11-19,109.83,75342.0,stock_zh_a_hist_tx
2024-11-20,111.08,74819.0,stock_zh_a_hist_tx
2024-11-21,110.29,42194.0,stock_zh_a_hist_tx
2024-11-22,106.88,66270.0,stock_zh_a_hist_tx
2024-11-25,105.72,49260.0,stock_zh_a_hist_tx
2024-11-26,103.88,39026.0,stock_zh_a_hist_tx
2024-11-27,105.21,40723.0,stock_zh_a_hist_tx
2024-11-28,102.87,44984.0,stock_zh_a_hist_tx
